metric_name,entity_name,currency,date,item_segment,category_name,value,quarter_start,quarter_end
Gross Merchandise Volume - Total,eBay,USD,2020-02-09,United States,Cell Phones & Telecom,4391777.542799,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-05,United States,Consumer Electronics,2715011.124618,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-20,International,Collectibles & Art,6264908.523914,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-15,United States,Home & Garden,6582085.463731,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-02,United States,Tickets & Travel,158059.470538,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-08-28,United States,"Books, Movies & Music",1942794.680669,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-06-08,United States,Computers,8662635.985657,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-04,United States,Cell Phones & Telecom,3333705.734416,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-20,International,Remaining Categories,616514.940286,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-03-20,United States,Computers,7169629.424138,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-21,United States,Clothing & Accessories,12057726.562983,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-20,International,Parts & Accessories,23563885.437061,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-12-26,United States,Health & Beauty,3152805.472948,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-27,International,Video Games,8364064.745447,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-05,United States,Sports,9178377.748219,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-22,United States,Computers,8240091.764015,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-12,United States,Sports,15886804.841834,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-08-08,International,Parts & Accessories,17468670.506676,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-22,United States,Clothing & Accessories,13150299.685284,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-21,United States,Tickets & Travel,157647.158264,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-02-24,United States,Consumer Electronics,3429804.515532,2020-01-01,2020-03-31
